CHURN,Gender,Status,Children,Est Income,Car Owner,Age,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan
"T","F","S",0.000000,7325.500000,"N",36.920000,28.520000,0.000000,161.540000,0.000000,"CC","FreeLocal","Intnl_discount",190.060000,2.000000
"F","M","M",2.000000,28766.900000,"N",46.840000,6.110000,0.000000,58.080000,0.000000,"CC","Budget","Standard",64.200000,1.000000
"F","M","M",2.000000,91272.200000,"Y",25.033333,26.990000,0.000000,13.010000,0.000000,"CC","FreeLocal","Standard",40.000000,3.000000
"T","M","S",0.000000,65000.000000,"Y",45.653333,11.630000,9.700000,115.660000,1.000000,"Auto","FreeLocal","Intnl_discount",137.000000,4.000000
"F","M","M",2.000000,1406.050000,"Y",19.306667,11.550000,0.000000,15.170000,0.000000,"CC","Budget","Standard",26.720000,1.000000
"F","F","S",0.000000,73228.300000,"N",62.000000,22.470000,0.000000,28.110000,0.000000,"Auto","Budget","Standard",50.580000,4.000000
"F","F","S",2.000000,76231.900000,"N",63.806667,2.010000,0.000000,150.750000,0.000000,"Auto","FreeLocal","Standard",152.760000,2.000000
"T","M","M",1.000000,64792.300000,"N",52.146667,13.050000,1.510000,36.840000,0.000000,"CH","FreeLocal","Standard",51.410000,3.000000
"T","F","S",0.000000,93322.100000,"Y",40.313333,29.920000,0.000000,8.790000,0.000000,"CH","Budget","Intnl_discount",38.720000,1.000000
"T","M","M",1.000000,63437.300000,"N",63.653333,0.680000,3.350000,10.940000,0.000000,"CC","Budget","Intnl_discount",14.980000,4.000000
"F","M","M",2.000000,49910.700000,"Y",51.520000,27.420000,0.000000,23.720000,0.000000,"CC","Budget","Standard",51.140000,3.000000
"T","M","M",0.000000,76161.400000,"Y",44.573333,11.960000,0.000000,25.580000,0.000000,"CC","FreeLocal","Standard",37.550000,4.000000
"F","F","M",2.000000,55860.000000,"Y",14.573333,16.010000,0.000000,10.350000,0.000000,"CC","FreeLocal","Intnl_discount",26.370000,3.000000
"T","F","S",1.000000,12686.000000,"N",64.800000,23.230000,0.000000,80.640000,0.000000,"Auto","Budget","Standard",103.880000,2.000000
"F","M","M",2.000000,57360.800000,"Y",53.253333,10.360000,0.000000,57.250000,0.000000,"CC","FreeLocal","Standard",67.610000,1.000000
"T","M","M",0.000000,92414.700000,"Y",45.513333,29.430000,0.000000,10.620000,0.000000,"CC","FreeLocal","Standard",40.060000,4.000000
"T","M","M",1.000000,60102.700000,"N",42.140000,9.840000,0.000000,62.440000,1.000000,"CH","FreeLocal","Standard",72.290000,3.000000
"F","F","M",2.000000,17888.700000,"N",55.000000,29.410000,0.000000,332.460000,0.000000,"CC","Budget","Standard",361.880000,1.000000
"T","F","S",1.000000,12526.300000,"N",53.553333,11.720000,0.000000,28.860000,0.000000,"CC","FreeLocal","Intnl_discount",40.590000,2.000000
"T","F","S",2.000000,14578.800000,"Y",60.933333,11.910000,0.000000,95.100000,0.000000,"Auto","Budget","Standard",107.020000,1.000000
"T","M","M",0.000000,78572.200000,"Y",42.346667,21.810000,0.000000,29.280000,1.000000,"CC","FreeLocal","Standard",51.090000,4.000000
"F","F","M",2.000000,48238.800000,"N",34.706667,23.280000,0.000000,168.030000,0.000000,"CC","FreeLocal","Standard",191.320000,4.000000
"F","F","M",0.000000,28770.900000,"N",12.340000,27.990000,5.320000,16.270000,0.000000,"CH","FreeLocal","Standard",49.600000,4.000000
"F","F","M",2.000000,87578.200000,"Y",53.366667,0.290000,0.000000,22.150000,0.000000,"CC","Budget","Standard",22.440000,1.000000
"F","F","M",2.000000,86695.400000,"N",13.906667,25.940000,0.000000,32.090000,0.000000,"CC","FreeLocal","Standard",58.030000,2.000000
"F","F","S",2.000000,76791.200000,"N",61.000000,20.710000,0.000000,23.000000,0.000000,"CC","Budget","Intnl_discount",43.710000,4.000000
"T","F","D",0.000000,30763.800000,"Y",14.193333,21.320000,0.000000,35.850000,0.000000,"CC","Budget","Standard",57.170000,4.000000
"F","F","M",2.000000,3193.600000,"N",54.046667,4.190000,0.000000,114.620000,1.000000,"CH","Budget","Standard",118.820000,3.000000
"F","M","M",1.000000,69680.900000,"N",15.846667,7.670000,0.000000,32.120000,0.000000,"CC","FreeLocal","Intnl_discount",39.800000,2.000000
"F","F","M",0.000000,83287.000000,"N",45.486667,29.640000,0.000000,90.180000,4.000000,"Auto","FreeLocal","Intnl_discount",119.820000,3.000000
"T","M","S",0.000000,2056.060000,"Y",18.940000,24.070000,6.980000,27.750000,0.000000,"Auto","Budget","Standard",58.800000,2.000000
"F","F","M",2.000000,7776.600000,"N",35.706667,25.870000,0.000000,68.330000,0.000000,"CC","FreeLocal","Standard",94.200000,4.000000
"F","M","M",1.000000,2067.820000,"N",47.853333,15.250000,0.000000,70.650000,0.000000,"CC","Budget","Intnl_discount",85.900000,4.000000
"T","M","S",0.000000,66666.000000,"N",52.000000,4.580000,7.660000,8.490000,0.000000,"CH","Budget","Standard",20.740000,1.000000
"F","F","M",2.000000,69343.300000,"N",42.166667,6.360000,0.000000,15.540000,0.000000,"CC","FreeLocal","Standard",21.910000,2.000000
"F","F","M",0.000000,77000.000000,"N",55.000000,0.570000,0.000000,23.890000,2.000000,"Auto","Budget","Standard",24.460000,4.000000
"F","F","M",0.000000,14932.500000,"N",52.000000,4.910000,0.000000,6.500000,0.000000,"CC","Budget","Intnl_discount",11.420000,1.000000
"F","F","S",0.000000,27498.100000,"N",42.000000,2.200000,0.000000,9.880000,0.000000,"CC","Budget","Intnl_discount",12.080000,4.000000
"F","F","M",2.000000,21419.900000,"N",59.833333,26.390000,0.000000,103.120000,0.000000,"CC","FreeLocal","Standard",129.510000,1.000000
"F","F","M",2.000000,30665.200000,"Y",22.880000,5.830000,8.320000,63.280000,0.000000,"Auto","FreeLocal","Standard",77.440000,3.000000
"F","F","M",1.000000,66000.000000,"Y",63.353333,6.080000,0.000000,30.950000,0.000000,"Auto","FreeLocal","Intnl_discount",37.040000,2.000000
"F","F","M",2.000000,50561.300000,"N",52.000000,16.600000,0.000000,113.310000,1.000000,"CH","Budget","Standard",129.910000,2.000000
"T","F","S",2.000000,23464.000000,"Y",70.000000,22.430000,0.000000,41.710000,0.000000,"CC","Budget","Intnl_discount",64.140000,3.000000
"F","F","M",2.000000,194.570000,"N",42.000000,28.260000,0.000000,38.950000,0.000000,"CC","FreeLocal","Standard",67.210000,4.000000
"F","F","M",1.000000,98680.400000,"Y",55.000000,17.580000,0.000000,8.850000,0.000000,"CH","FreeLocal","Intnl_discount",26.440000,4.000000
"T","M","M",1.000000,65619.700000,"Y",46.000000,13.560000,0.000000,144.660000,0.000000,"CC","Budget","Standard",158.220000,3.000000
"F","F","M",1.000000,95620.300000,"Y",52.000000,10.910000,0.000000,93.610000,0.000000,"CC","Budget","Standard",104.530000,2.000000
"F","F","S",0.000000,85275.000000,"N",47.000000,22.480000,0.000000,151.610000,0.000000,"Auto","FreeLocal","Intnl_discount",174.090000,2.000000
"F","F","M",1.000000,66921.400000,"Y",43.000000,15.700000,0.000000,8.970000,0.000000,"CC","FreeLocal","Intnl_discount",24.670000,3.000000
"F","F","M",1.000000,98453.600000,"Y",46.000000,13.720000,0.000000,11.650000,0.000000,"Auto","FreeLocal","Standard",25.380000,3.000000
"F","F","M",2.000000,94026.800000,"Y",27.746667,25.000000,0.000000,10.620000,0.000000,"CC","FreeLocal","Intnl_discount",35.630000,3.000000
"F","F","S",2.000000,57420.000000,"Y",61.000000,25.180000,0.000000,252.530000,1.000000,"Auto","Budget","Standard",277.720000,2.000000
"T","M","M",0.000000,77000.000000,"N",44.000000,3.930000,3.730000,26.690000,1.000000,"CH","FreeLocal","Standard",34.350000,4.000000
"F","M","M",2.000000,47639.100000,"N",48.000000,17.480000,0.000000,39.620000,0.000000,"CC","Budget","Intnl_discount",57.110000,4.000000
"F","F","M",2.000000,63234.500000,"Y",52.360000,0.000000,0.000000,1.160000,0.000000,"CH","FreeLocal","Intnl_discount",1.160000,3.000000
"F","F","M",2.000000,18296.400000,"Y",42.626667,0.080000,0.000000,10.390000,0.000000,"CC","FreeLocal","Standard",10.470000,3.000000
"T","F","S",0.000000,39461.000000,"N",22.226667,22.870000,0.280000,103.520000,1.000000,"CC","FreeLocal","Standard",126.680000,4.000000
"F","F","S",1.000000,68000.000000,"N",60.000000,22.820000,0.000000,63.290000,0.000000,"Auto","FreeLocal","Standard",86.120000,3.000000
"F","F","M",2.000000,52957.000000,"Y",39.746667,25.790000,0.000000,125.520000,2.000000,"CH","FreeLocal","Standard",151.320000,2.000000
"F","F","S",2.000000,86747.100000,"N",64.853333,20.150000,0.000000,37.240000,0.000000,"Auto","Budget","Standard",57.400000,3.000000
"F","F","M",1.000000,87404.600000,"N",63.186667,21.630000,0.000000,139.200000,0.000000,"Auto","Budget","Standard",160.840000,3.000000
"F","M","S",2.000000,20919.000000,"N",27.886667,6.260000,4.920000,153.360000,0.000000,"CC","FreeLocal","Intnl_discount",164.540000,2.000000
"F","F","M",2.000000,85394.000000,"Y",20.160000,19.280000,2.020000,14.380000,1.000000,"Auto","Budget","Intnl_discount",35.690000,4.000000
"T","F","S",0.000000,2121.360000,"N",39.786667,2.020000,0.000000,36.780000,1.000000,"CC","FreeLocal","Standard",38.800000,3.000000
"F","F","M",2.000000,63566.100000,"Y",56.300000,7.940000,0.000000,65.090000,0.000000,"CH","Budget","Intnl_discount",73.030000,2.000000
"F","F","S",0.000000,89813.600000,"N",12.846667,14.940000,1.960000,149.260000,0.000000,"CC","FreeLocal","Intnl_discount",166.180000,4.000000
"F","F","M",2.000000,82644.200000,"Y",33.493333,21.970000,0.000000,19.880000,0.000000,"CC","FreeLocal","Intnl_discount",41.850000,4.000000
"T","F","S",1.000000,27783.600000,"N",14.040000,4.970000,6.530000,18.070000,0.000000,"CC","FreeLocal","Standard",29.580000,3.000000
"F","F","M",2.000000,60485.500000,"N",41.666667,11.700000,0.000000,28.700000,0.000000,"Auto","Budget","Intnl_discount",40.410000,1.000000
"F","F","M",2.000000,809.430000,"Y",31.913333,0.000000,0.000000,2.890000,0.000000,"CH","FreeLocal","Intnl_discount",2.890000,1.000000
"T","M","S",1.000000,76529.800000,"N",58.280000,18.460000,5.360000,20.050000,0.000000,"CC","Budget","Standard",43.890000,1.000000
"F","F","M",2.000000,34577.700000,"N",63.253333,29.180000,0.000000,116.570000,3.000000,"CH","Budget","Standard",145.750000,2.000000
"F","F","M",0.000000,80000.000000,"N",48.000000,27.560000,0.000000,45.460000,0.000000,"Auto","Budget","Standard",73.020000,3.000000
"T","F","S",2.000000,19008.400000,"Y",52.166667,10.540000,0.000000,137.190000,0.000000,"CC","FreeLocal","Standard",147.740000,4.000000
"F","F","M",0.000000,98056.300000,"N",55.966667,23.700000,0.000000,126.960000,0.000000,"Auto","FreeLocal","Standard",150.670000,3.000000
"T","M","M",0.000000,73400.000000,"Y",64.226667,0.000000,0.000000,2.210000,0.000000,"CH","Budget","Standard",2.210000,4.000000
"F","M","M",0.000000,78894.200000,"N",28.000000,2.000000,1.410000,43.230000,0.000000,"CH","Budget","Intnl_discount",46.650000,2.000000
"T","M","S",1.000000,16432.100000,"Y",20.920000,20.410000,8.890000,80.470000,0.000000,"CH","Budget","Intnl_discount",109.780000,1.000000
"T","M","M",0.000000,62797.900000,"N",54.446667,8.320000,4.280000,55.480000,0.000000,"CH","Budget","Intnl_discount",68.090000,1.000000
"T","M","S",1.000000,71329.900000,"Y",42.233333,14.270000,3.550000,45.920000,0.000000,"CC","Budget","Standard",63.750000,3.000000
"T","F","S",0.000000,20913.600000,"N",53.013333,22.990000,7.160000,65.770000,0.000000,"CC","FreeLocal","Standard",95.930000,4.000000
"T","F","S",1.000000,540.400000,"Y",39.213333,12.340000,0.000000,7.750000,0.000000,"Auto","Budget","Intnl_discount",20.100000,4.000000
"F","M","M",2.000000,67339.800000,"N",17.006667,27.830000,5.190000,48.690000,0.000000,"CC","FreeLocal","Intnl_discount",81.720000,2.000000
"T","M","M",1.000000,75799.900000,"N",46.380000,22.240000,7.020000,64.800000,0.000000,"CC","FreeLocal","Intnl_discount",94.060000,3.000000
"T","F","S",2.000000,15688.500000,"N",53.060000,14.390000,0.000000,8.030000,0.000000,"CC","Budget","Standard",22.420000,4.000000
"T","F","S",0.000000,43382.300000,"N",16.073333,29.670000,8.760000,99.940000,0.000000,"CH","FreeLocal","Standard",138.370000,2.000000
"T","F","S",0.000000,5185.310000,"N",62.053333,16.390000,5.990000,30.510000,0.000000,"CC","FreeLocal","Intnl_discount",52.900000,2.000000
"T","F","S",0.000000,41000.000000,"N",16.060000,26.010000,0.000000,108.440000,0.000000,"CC","Budget","Standard",134.450000,4.000000
"T","F","S",0.000000,32098.000000,"N",22.433333,22.960000,8.280000,75.270000,0.000000,"CH","Budget","Intnl_discount",106.530000,2.000000
"F","F","M",2.000000,80087.700000,"N",41.920000,8.740000,0.000000,22.820000,0.000000,"CC","FreeLocal","Standard",31.560000,4.000000
"F","F","M",2.000000,59691.300000,"N",38.040000,21.940000,0.000000,256.700000,0.000000,"CC","Budget","Standard",278.650000,2.000000
"T","F","S",2.000000,11251.100000,"Y",61.000000,28.420000,0.000000,113.480000,0.000000,"CC","FreeLocal","Standard",141.910000,2.000000
"T","M","M",0.000000,70908.700000,"N",49.620000,7.700000,4.550000,43.200000,0.000000,"CC","FreeLocal","Standard",55.470000,4.000000
"T","M","S",0.000000,94928.300000,"N",40.180000,14.420000,5.610000,73.740000,0.000000,"CH","FreeLocal","Standard",93.780000,4.000000
"F","F","M",2.000000,50622.300000,"N",40.460000,20.450000,2.070000,90.190000,0.000000,"Auto","FreeLocal","Standard",112.720000,2.000000
"T","M","M",0.000000,78000.000000,"Y",52.266667,16.200000,4.270000,18.840000,0.000000,"CC","FreeLocal","Intnl_discount",39.320000,3.000000
"T","M","M",0.000000,100020.000000,"Y",52.266667,29.550000,0.000000,62.810000,0.000000,"CH","Budget","Standard",92.370000,4.000000
"F","F","M",1.000000,56722.800000,"N",60.593333,17.370000,6.210000,51.170000,0.000000,"CC","FreeLocal","Standard",74.770000,2.000000
"T","M","M",1.000000,80000.000000,"N",53.213333,0.000000,0.000000,3.220000,0.000000,"CC","Budget","Intnl_discount",3.220000,3.000000
"T","F","S",2.000000,3416.620000,"Y",22.760000,18.970000,0.000000,104.730000,0.000000,"CC","Budget","Standard",123.700000,4.000000
"F","F","M",0.000000,73400.000000,"Y",55.633333,0.170000,0.000000,10.220000,0.000000,"Auto","Budget","Standard",10.390000,2.000000
"T","M","M",0.000000,120000.000000,"Y",53.213333,15.270000,0.000000,25.620000,0.000000,"CC","FreeLocal","Standard",40.900000,4.000000
"F","F","M",2.000000,8032.160000,"N",45.666667,29.680000,0.000000,59.080000,0.000000,"CC","FreeLocal","Standard",88.770000,2.000000
"F","F","S",1.000000,93454.300000,"Y",48.533333,18.940000,0.000000,25.180000,0.000000,"Auto","FreeLocal","Standard",44.130000,4.000000
"T","M","M",0.000000,5745.000000,"Y",15.380000,26.400000,0.000000,17.710000,0.000000,"CC","FreeLocal","Standard",44.110000,1.000000
"F","F","S",0.000000,83287.000000,"N",77.000000,0.410000,7.350000,208.190000,0.000000,"Auto","Budget","Standard",215.960000,4.000000
"F","F","S",0.000000,92564.100000,"Y",49.133333,23.170000,0.000000,51.680000,0.000000,"Auto","FreeLocal","Standard",74.860000,3.000000
"F","M","S",0.000000,86448.200000,"Y",38.133333,4.910000,3.140000,82.190000,0.000000,"CC","Budget","Intnl_discount",90.250000,2.000000
"F","F","M",2.000000,48322.500000,"Y",49.333333,6.690000,0.000000,43.600000,0.000000,"CC","FreeLocal","Standard",50.290000,1.000000
"F","F","M",2.000000,81913.800000,"Y",49.660000,6.700000,0.000000,46.330000,0.000000,"CC","FreeLocal","Standard",53.030000,1.000000
"T","F","S",0.000000,919.930000,"N",38.260000,27.280000,0.000000,93.420000,0.000000,"CH","Budget","Standard",120.710000,3.000000
"F","F","M",2.000000,69486.800000,"N",30.946667,7.720000,0.000000,9.390000,1.000000,"CC","Budget","Standard",17.110000,1.000000
"F","F","M",2.000000,24482.800000,"N",33.533333,0.000000,0.000000,2.000000,0.000000,"CH","Budget","Intnl_discount",2.000000,4.000000
"F","F","M",0.000000,14573.600000,"N",64.606667,26.610000,0.000000,236.970000,0.000000,"CC","Budget","Standard",263.580000,4.000000
"F","F","M",2.000000,92103.800000,"N",52.153333,7.420000,0.000000,7.430000,0.000000,"CC","Budget","Standard",14.860000,3.000000
"T","F","S",2.000000,8392.140000,"Y",36.680000,25.030000,7.330000,54.800000,0.000000,"CH","Budget","Intnl_discount",87.160000,3.000000
"T","F","S",0.000000,17138.200000,"N",63.786667,20.010000,0.000000,84.670000,0.000000,"CC","FreeLocal","Intnl_discount",104.690000,3.000000
"F","F","M",2.000000,47010.100000,"N",57.406667,2.540000,0.000000,164.760000,0.000000,"CC","Budget","Intnl_discount",167.310000,1.000000
"F","F","S",1.000000,67239.400000,"N",44.433333,12.890000,0.000000,53.810000,0.000000,"Auto","FreeLocal","Intnl_discount",66.700000,2.000000
"F","M","M",1.000000,69406.700000,"Y",30.000000,6.900000,7.210000,128.100000,1.000000,"CC","FreeLocal","Standard",142.230000,2.000000
"F","F","M",2.000000,83259.300000,"N",50.880000,0.000000,0.000000,4.460000,0.000000,"CC","Budget","Standard",4.460000,4.000000
"F","M","S",2.000000,60095.200000,"Y",23.313333,1.710000,0.000000,116.140000,0.000000,"Auto","Budget","Standard",117.850000,2.000000
"F","F","M",2.000000,2185.600000,"N",52.513333,7.120000,0.000000,20.950000,1.000000,"CH","Budget","Standard",28.070000,1.000000
"T","M","M",1.000000,76511.300000,"N",62.080000,21.680000,3.460000,17.370000,0.000000,"CC","FreeLocal","Standard",42.520000,2.000000
"T","F","M",1.000000,6946.070000,"N",23.000000,25.770000,0.000000,8.840000,0.000000,"CH","FreeLocal","Standard",34.610000,2.000000
